ConstituentID,DisplayName,ArtistBio,Nationality,Gender,BeginDate,EndDate,Wiki_QID,ULAN
258,Michael Ayrton,"British, 1921–1975",British,Male,1921,1975,Q2739689,500018746
260,Umetaro Azechi,"Japanese, 1902–1999",Japanese,Male,1902,1999,Q11578726,500330875
262,Johannes Baader,"German, 1875–1955",German,Male,1875,1955,Q67897,500072111
263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),"German, 1892–1927",German,Male,1892,1927,Q481655,500108031
272,Francis Bacon,"British, born Ireland. 1909–1992",British,Male,1909,1992,Q154340,500021153
273,Peggy Bacon,"American, 1895–1987",American,Female,1895,1987,Q7160630,500024574
292,Enrico Baj,"Italian, 1924–2003",Italian,Male,1924,2003,Q765758,500030098
300,Léon Bakst,"Russian, 1866–1924",Russian,Male,1866,1924,Q214666,500009524
308,Édouard-Denis Baldus,"French, 1813–1882",French,Male,1813,1882,Q71244,500024737
310,Joost Baljeu,"Dutch, 1925–1991",Dutch,Male,1925,1991,Q12012418,500000507
311,Giacomo Balla,"Italian, 1871–1958",Italian,Male,1871,1958,Q368254,500014876
314,Theo H. Ballmer,"Swiss, 1902–1965",Swiss,Male,1902,1965,Q2416828,500060722
317,Balthus (Baltusz Klossowski de Rola),"French, 1908–2001",French,Male,1908,2001,Q325925,500021167
318,Lewis Baltz,"American, 1945–2014",American,Male,1945,2014,Q353266,500011333
323,John Banting,"British, 1902–1972",British,Male,1902,1972,Q6220564,500028747
325,Vladimir Baranoff-Rossiné,"Ukrainian, 1888–1944",Ukrainian,Male,1888,1944,Q573654,500017903
335,Ernst Barlach,"German, 1870–1938",German,Male,1870,1938,Q156890,500013940
336,George Barnard,"American, 1819–1902",American,Male,1819,1902,Q127916,500115186
342,Will Barnet,"American, 1911–2012",American,Male,1911,2012,Q1566998,500010278
360,Luigi Bartolini,"Italian, 1892–1963",Italian,Male,1892,1963,Q172346,500016350
369,Leonard Baskin,"American, 1922–2000",American,Male,1922,2000,Q2601617,500003136
370,Jean-Michel Basquiat,"American, 1960–1988",American,Male,1960,1988,Q155407,500093239
372,Saul Bass,"American, 1920–1996",American,Male,1920,1996,Q536884,500021030
375,Georges Bataille,"French, 1897–1962",French,Male,1897,1962,Q207359,500093456
383,André Bauchant,"French, 1873–1958",French,Male,1873,1958,Q516924,500003676
392,Willi Baumeister,"German, 1889–1955",German,Male,1889,1955,Q707911,500022627
393,Lothar Baumgarten,"German, 1944–2018",German,Male,1944,2018,Q455070,500088417
395,Edward Bawden,"British, 1903–1989",British,Male,1903,1989,Q3305396,500027999
398,Hippolyte Bayard,"French, 1801–1887",French,Male,1801,1887,Q559668,500003577
399,Herbert Bayer,"American, born Austria. 1900–1985",American,Male,1900,1985,Q213637,500009369
404,Jean Bazaine,"French, 1904–2001",French,Male,1904,2001,Q708504,500031929
405,Castera Bazile,"Haitian, 1923–1966",Haitian,Male,1923,1966,Q2941413,500075513
406,William Baziotes,"American, 1912–1963",American,Male,1912,1963,Q652548,500023351
407,Gifford Beal,"American, 1879–1956",American,Male,1879,1956,Q5559916,500019899
408,Jack Beal,"American,1931–2013",American,Male,1931,2013,Q14828019,500010820
409,Lester Beall,"American, 1903–1969",American,Male,1903,1969,Q6531814,500330273
412,Romare Bearden,"American, 1911–1988",American,Male,1911,1988,Q1291679,500007871
413,Aubrey Beardsley,"British, 1872–1898",British,Male,1872,1898,Q272566,500032068
417,Cecil Beaton,"British, 1904–1980",British,Male,1904,1980,Q697096,500001040
419,Robert Beauchamp,"American, 1923–1995",American,Male,1923,1995,Q7341977,500018294
422,Bernd Becher,"German, 1931–2007",German,Male,1931,2007,Q16947617,500027822
429,Max Beckmann,"German, 1884–1950",German,Male,1884,1950,Q164683,500024106
430,Francis Bedford,"British, 1816–1894",British,Male,1816,1894,Q3504712,500023245
434,Max Beerbohm,"British, 1872–1956",British,Male,1872,1956,Q472071,500017622
438,Peter Behrens,"German, 1868–1940",German,Male,1868,1940,Q76726,500022843
445,Vanessa Bell,"British, 1879–1961",British,Female,1879,1961,Q255294,500008308
450,Rudolf Belling,"German, 1886–1972",German,Male,1886,1972,Q215029,500087529
452,Hans Bellmer,"German, 1902–1975",German,Male,1902,1975,Q213703,500018770
453,Ernest J. Bellocq,"American, 1873–1949",American,Male,1873,1949,Q712326,500060703
455,George Bellows,"American, 1882–1925",American,Male,1882,1925,Q167132,500003261
469,Luis Fernando Benedit,"Argentine, 1937–2011",Argentine,Male,1937,2011,Q9024950,500018458
476,Henry Hamilton Bennett,"American, born Canada. 1843–1908",American,Male,1843,1908,Q5628273,500019160
478,Ward Bennett,"American, 1917–2003",American,Male,1917,2003,Q7968974,500066150
479,Alexander Benois,"Russian, 1870–1960",Russian,Male,1870,1960,Q319861,500009577
482,Nicholas Bentley,"British, 1907–1978",British,Male,1907,1978,Q7029528,500043306
483,Thomas Hart Benton,"American, 1889–1975",American,Male,1889,1975,Q471764,500005998
486,Christian Bérard,"French, 1902–1949",French,Male,1902,1949,Q1079125,500032124
487,Roberto Berdecio,"Bolivian, 1913–1996",Bolivian,Male,1913,1996,Q7351596,500122205
501,Henryk Berlewi,"Polish, 1894–1967",Polish,Male,1894,1967,Q709033,500032191
502,Eugene Berman,"American, born Russia. 1899–1972",American,Male,1899,1972,Q1373050,500028943
503,Mieczyslaw Berman,"Polish, 1903–1975",Polish,Male,1903,1975,Q7941133,500084460
505,Wallace Berman,"American, 1926–1976",American,Male,1926,1976,Q7962743,500025293
511,Émile Bernard,"French, 1868–1941",French,Male,1868,1941,Q264193,500012925
516,Ruth Bernhard,"American, born Germany. 1905–2006",American,Female,1905,2006,Q2177580,500105646
518,Janez Bernik,"Yugoslav, 1933–2016",Yugoslav,Male,1933,2016,Q1502530,500029793
522,Miguel Ortiz Berrocal,"Spanish, 1933–2006",Spanish,Male,1933,2006,Q586843,500037927
528,Paul Berthon,"French, 1872–1909",French,Male,1872,1909,Q2178796,500006763
531,Harry Bertoia,"American, born Italy. 1915–1978",American,Male,1915,1978,Q2551765,500032341
533,Albert Besnard,"French, 1849–1934",French,Male,1849,1934,Q424348,500030831
534,Forrest Bess,"American, 1911–1977",American,Male,1911,1977,Q5470435,500099698
540,Joseph Beuys,"German, 1921–1986",German,Male,1921,1986,Q153965,500024607
553,George Biddle,"American, 1885–1973",American,Male,1885,1973,Q5536970,500005782
554,Charles Biederman,"American, 1906–2004",American,Male,1906,2004,Q15429307,500031104
557,Wilson Bigaud,"Haitian, 1931–2010",Haitian,Male,1931,2010,Q3057700,500077121
559,Max Bill,"Swiss, 1908–1994",Swiss,Male,1908,1994,Q123454,500005369
560,Joseph Binder,"American, 1898–1972",American,Male,1898,1972,Q1706624,500030625
561,Ilse Bing,"American, born Germany. 1899–1998",American,Female,1899,1998,Q85719,500007274
562,Robert J. Bingham,"British, 1824–1870",British,Male,1824,1870,Q16214312,500015888
564,Peter Birkhauser,"Swiss, 1911–1976",Swiss,Male,1911,1976,Q678067,500345161
566,Werner Bischof,"Swiss, 1916–1954",Swiss,Male,1916,1954,Q120369,500070840
567,Elmer Bischoff,"American, 1916–1991",American,Male,1916,1991,Q3051555,500000068
573,Julius Bissier,"German, 1893–1965",German,Male,1893,1965,Q872641,500008365
574,Roger Bissière,"French, 1888–1964",French,Male,1888,1964,Q518444,500021487
576,Auguste-Rosalie Bisson,"French, 1826–1900",French,Male,1826,1900,Q477709,500036839
577,Louis-Auguste Bisson,"French, 1814–1876",French,Male,1814,1876,Q127287,500020179
582,James Wallace Black,"American, 1825–1896",American,Male,1825,1896,Q289479,500006013
588,Ronald Bladen,"American, 1918–1988",American,Male,1918,1988,Q1261891,500077632
589,Nell Blaine,"American, 1922–1996",American,Female,1922,1996,Q6990000,500016457
596,Arbit Blatas,"American, born Lithuania. 1908–1999",American,Male,1908,1999,Q2859653,500043256
609,Hyman Bloom,"American, born Latvia. 1913–2009",American,Male,1913,2009,Q11105744,500022094
611,Sandra Blow,"British, 1925–2006",British,Female,1925,2006,Q7416550,500015905
612,Oscar Bluemner,"American, born Germany. 1867–1938",American,Male,1867,1938,Q215773,500027801
613,Norman Bluhm,"American, 1920–1999",American,Male,1920,1999,Q321158,500027802
617,Peter Blume,"American, 1906–1992",American,Male,1906,1992,Q2990693,500028254
618,Erwin Blumenfeld,"German, 1897–1969",German,Male,1897,1969,Q71827,500022598
624,Umberto Boccioni,"Italian, 1882–1916",Italian,Male,1882,1916,Q152797,500012624
630,Alighiero Boetti,"Italian, 1940–1994",Italian,Male,1940,1994,Q556337,500053938
637,Alexander Bogomazov,"Russian, 1880–1930",Russian,Male,1880,1930,Q1984317,500023043
648,Ilya Bolotowsky,"American, born Russia. 1907–1981",American,Male,1907,1981,Q4091000,500014068
651,David Bomberg,"British, 1890–1957",British,Male,1890,1957,Q734355,500014864
652,Camille Bombois,"French, 1883–1970",French,Male,1883,1970,Q683264,500024562
657,Muirhead Bone,"British, 1876–1953",British,Male,1876,1953,Q5581681,500000110
660,Marcelo Bonevardi,"Argentine, 1929–1994",Argentine,Male,1929,1994,Q6756509,500019920
661,Felix Bonfils,"French, 1831–1885",French,Male,1831,1885,Q2915801,500016696
665,Pierre Bonnard,"French, 1867–1947",French,Male,1867,1947,Q26408,500115555
676,Paul-Émile Borduas,"Canadian, 1905–1960",Canadian,Male,1905,1960,Q360286,500008086
678,Francisco Borès,"Spanish, 1898–1972",Spanish,Male,1898,1972,Q1406524,500031770
679,Norah Borges de Torre,"Argentine, 1901–1998",Argentine,Female,1901,1998,Q3343469,500185694
686,Sándor (Alexander) Bortnyik,"Hungarian, 1893–1976",Hungarian,Male,1893,1976,Q562814,500026527
694,Dorr Bothwell,"American, 1902–2000",American,Female,1902,2000,Q5298723,500096320
698,Édouard Boubat,"French, 1923–1999",French,Male,1923,1999,Q274241,500001755
699,René Robert Bouché,"American, 1905–1963",American,Male,1905,1963,Q7313672,500043549
701,Alice Boughton,"American, 1865–1943",American,Female,1865,1943,Q440673,500076205
708,Émile-Antoine Bourdelle,"French, 1861–1929",French,Male,1861,1929,Q314350,500028923
710,Louise Bourgeois,"American, born France. 1911–2010",American,Female,1911,2010,Q159409,500057350
712,Margaret Bourke-White,"American, 1904–1971",American,Female,1904,1971,Q238364,500023145
713,Samuel Bourne,"British, 1834–1912",British,Male,1834,1912,Q337475,500022534
720,Stanley Boxer,"American,1926–2000",American,Male,1926,2000,Q7599492,500028179
726,Paul Brach,"American,1924–2007",American,Male,1924,2007,Q7149478,500018752
732,William Bradley,"American, 1868–1962",American,Male,1868,1962,Q1357158,500010977
734,Mathew B. Brady (studio of),"American, 1823–1896",American,Male,1823,1896,Q187850,500126201
736,Joe Brainard,"American, 1942–1994",American,Male,1942,1994,Q1691342,500027180
738,Constantin Brancusi,"French, born Romania. 1876–1957",French,Male,1876,1957,Q153048,500016157
740,Bill Brandt,"British, born Germany. 1904–1983",British,Male,1904,1983,Q63184,500026943
741,Marianne Brandt,"German, 1893–1983",German,Female,1893,1983,Q456521,500019983
743,Frank Brangwyn,"British, born Belgium. 1867–1956",British,Male,1867,1956,Q560115,500026093
744,Georges Braque,"French, 1882–1963",French,Male,1882,1963,Q153793,500025200
745,Brassaï (Gyula Halász),"French, born Transylvania. 1899–1984",French,Male,1899,1984,Q354804,500000306
746,John Randall Bratby,"British, 1928–1992",British,Male,1928,1992,Q3809107,500001732
749,Adolphe Braun,"French, 1812–1877",French,Male,1812,1877,Q365683,500016067
751,Victor Brauner,"Romanian, 1903–1966",Romanian,Male,1903,1966,Q558060,500027528
753,Claudio Bravo,"Chilean, 1936–2011",Chilean,Male,1936,2011,Q491787,500014128
756,George Brecht,"American, 1926–2008",American,Male,1926,2008,Q686321,500045721
758,Robert Breer,"American, 1926–2011",American,Male,1926,2011,Q526954,500060118
760,K. P. Brehmer,"German, 1938–1997",German,Male,1938,1997,Q1718932,500058494
761,Raymond Breinin,"American, 1910–2000",American,Male,1910,2000,Q19595180,500006860
762,Joseph Breitenbach,"American, born Germany. 1896–1984",American,Male,1896,1984,Q1704370,500037093
767,Rodolphe Bresdin,"French, 1822–1885",French,Male,1822,1885,Q467130,500018116
768,André Breton,"French, 1896–1966",French,Male,1896,1966,Q161955,500125870
769,Marcel Breuer,"American, born Hungary. 1902–1981",American,Male,1902,1981,Q57588,500118800
777,Anne W. Brigman,"American, 1869–1950",American,Female,1869,1950,Q434674,500007600
785,Gottfried Brockmann,"German, 1903–1983",German,Male,1903,1983,Q1471465,500076076
787,Gandy Brodie,"American, 1925–1975",American,Male,1925,1975,Q17308840,500005976
788,Alexey Brodovitch,"American, born Russia. 1898–1971",American,Male,1898,1971,Q525387,500125873
792,Horace Brodzky,"American, 1885–1969",American,Male,1885,1969,Q18671475,500025308
795,Marcel Broodthaers,"Belgian, 1924–1976",Belgian,Male,1924,1976,Q834926,500004693
796,Alexander Brook,"American, 1898–1980",American,Male,1898,1980,Q4718429,500020389
798,James Brooks,"American, 1906–1992",American,Male,1906,1992,Q472785,500017163
802,Joan Brossa,"Spanish, 1919–1998",Spanish,Male,1919,1998,Q260436,500271680
807,Joan Brown,"American, 1938–1990",American,Female,1938,1990,Q6204894,500025543
811,Roger Brown,"American, 1941–1997",American,Male,1941,1997,Q15487281,500017835
821,Patrick Henry Bruce,"American, 1881–1936",American,Male,1881,1936,Q1392667,500007545
824,Francis Bruguière,"American, 1879–1945",American,Male,1879,1945,Q5480354,500014276
829,Peter Brüning,"German, 1929–1970",German,Male,1929,1970,Q1373454,500014970
838,Tadeusz Brzozowski,"Polish, 1918–1987",Polish,Male,1918,1987,Q475148,500009828
843,Carl Buchheister,"German, 1890–1964",German,Male,1890,1964,Q476542,500003056
844,Erich Buchholz,"German, 1891–1972",German,Male,1891,1972,Q1352028,500015787
847,John Buckland-Wright,"British, born New Zealand. 1897–1954",British,Male,1897,1954,Q1566235,500124952
855,Bernard Buffet,"French, 1928–1999",French,Male,1928,1999,Q365304,500013970
861,Wynn Bullock,"American, 1902–1975",American,Male,1902,1975,Q587386,500124373
869,Max Burchartz,"German, 1887–1961",German,Male,1887,1961,Q471444,500002068
870,Charles Burchfield,"American, 1893–1967",American,Male,1893,1967,Q3349279,500015189
871,Chris Burden,"American,1946–2015",American,Male,1946,2015,Q720832,500118760
876,Paul Burlin,"American, 1886–1969",American,Male,1886,1969,Q7149608,500005636
877,David Burliuk,"Ukrainian, 1882–1967",Ukrainian,Male,1882,1967,Q610532,500026962
878,Ian Burn,"Australian, 1939–1993",Australian,Male,1939,1993,Q1655457,500192590
879,Edward Burne-Jones,"British, 1833–1898",British,Male,1833,1898,Q216406,500001381
883,Edward Burra,"British, 1905–1976",British,Male,1905,1976,Q1291799,500006654
884,Alberto Burri,"Italian, 1915–1995",Italian,Male,1915,1995,Q461740,500015319
885,René Burri,"Swiss, 1933–2014",Swiss,Male,1933,2014,Q671527,500115621
886,Larry Burrows,"British, 1926–1971",British,Male,1926,1971,Q1348644,500124535
889,Scott Burton,"American, 1939–1989",American,Male,1939,1989,Q7436079,500024444
890,Pol Bury,"Belgian, 1922–2005",Belgian,Male,1922,2005,Q492909,500008200
893,Jack Bush,"Canadian, 1909–1977",Canadian,Male,1909,1977,Q6111490,500021036
895,Solomon D. Butcher,"American, 1856–1927",American,Male,1856,1927,Q2299191,500004708
900,Reg Butler,"British, 1913–1983",British,Male,1913,1983,Q570353,500000379
902,James Lee Byars,"American, 1932–1997",American,Male,1932,1997,Q882861,500089748
909,Paul Cadmus,"American, 1904–1999",American,Male,1904,1999,Q519534,500009073
912,John Cage,"American, 1912–1992",American,Male,1912,1992,Q180727,500092036
913,Corrado Cagli,"Italian, 1910–1976",Italian,Male,1910,1976,Q2997862,500004817
922,Alexander Calder,"American, 1898–1976",American,Male,1898,1976,Q151580,500007824
924,Harry Callahan,"American, 1912–1999",American,Male,1912,1999,Q1383354,500000873
925,Kenneth Callahan,"American, 1905–1986",American,Male,1905,1986,Q6389939,500019403
926,Mary Callery,"American, 1903–1977",American,Female,1903,1977,Q6779164,500012644
932,Julia Margaret Cameron,"British, 1815–1879",British,Female,1815,1879,Q230120,500118804
935,Charles Camoin,"French, 1879–1965",French,Male,1879,1965,Q968285,500009979
940,Heinrich Campendonk,"German, 1889–1957",German,Male,1889,1957,Q213685,500009451
942,Massimo Campigli,"Italian, 1895–1971",Italian,Male,1895,1971,Q470359,500029770
945,Vincent Canadé,"American, 1879–1961",American,Male,1879,1961,Q7931708,500044198
954,Federico Cantú,"Mexican, 1908–1989",Mexican,Male,1908,1989,Q932167,500118518
955,Cornell Capa,"American, born Hungary. 1918–2008",American,Male,1918,2008,Q504066,500076649
956,Robert Capa,"American, born Hungary. 1913–1954",American,Male,1913,1954,Q152524,500063842
958,Josef Capek,"Czech, 1887–1945",Czech,Male,1887,1945,Q454568,500115342
959,Alfred Capel Cure,"British, 1826–1896",British,Male,1826,1896,Q4722421,500036697
960,Giuseppe Capogrossi,"Italian, 1900–1972",Italian,Male,1900,1972,Q320868,500026424
968,Emil Cardinaux,"Swiss, 1877–1936",Swiss,Male,1877,1936,Q3052207,500021057
972,Arthur B. Carles,"American, 1882–1952",American,Male,1882,1952,Q4797967,500014441
977,Jean Carlu,"French, 1900–1997",French,Male,1900,1997,Q573180,500096734
982,Anthony Caro,"British, 1924–2013",British,Male,1924,2013,Q529591,500115345
987,Carlo Carrà,"Italian, 1881–1966",Italian,Male,1881,1966,Q168496,500008934
988,Mario Carreño,"Chilean, born Cuba. 1913–1999",Chilean,Male,1913,1999,Q3293392,500005232
990,Eugène Carrière,"French, 1849–1906",French,Male,1849,1906,Q461464,500007012
993,Leonora Carrington,"British, 1917–2011",British,Female,1917,2011,Q233207,500018196
994,John Carroll,"American, 1892–1959",American,Male,1892,1959,Q20679551,500120551
998,Clarence H. Carter,"American, 1904–2000",American,Male,1904,2000,Q5126587,500012279
1000,Henri Cartier-Bresson,"French, 1908–2004",French,Male,1908,2004,Q156567,500115484
1001,Flavio de R. Carvalho,"Brazilian, 1899–1973",Brazilian,Male,1899,1973,Q5458117,500118105
1003,Carybé (Hector Bernabó),"Brazilian, 1911–1997",Brazilian,Male,1911,1997,Q609641,500331721
1013,Felice Casorati,"Italian, 1883–1963",Italian,Male,1883,1963,Q574616,500021131
1015,A. M. Cassandre,"French, 1901–1968",French,Male,1901,1968,Q278945,500015994
1016,Mary Cassatt,"American, 1844–1926",American,Female,1844,1926,Q173223,500012368
1023,Moshe Elazar Castel,"Israeli, 1909–1992",Israeli,Male,1909,1992,Q737913,500028883
1026,Julio Castellanos,"Mexican, 1905–1947",Mexican,Male,1905,1947,Q1712344,500059286
1027,Federico Castellon,"American, 1914–1971",American,Male,1914,1971,Q5440979,500009576
1028,Achille Castiglioni,"Italian, 1918–2002",Italian,Male,1918,2002,Q200692,500019205
1037,Elizabeth Catlett,"American and Mexican, 1915–2012",American,Female,1915,2012,Q290331,500011840
1039,Patrick Caulfield,"British, 1936–2005",British,Male,1936,2005,Q492111,500015976
1042,Giorgio Cavallon,"American, born Italy. 1904–1989",American,Male,1904,1989,Q5563463,500006551
1052,César (César Baldaccini),"French, 1921–1998",French,Male,1921,1998,Q445065,500024535
1053,Paul Cézanne,"French, 1839–1906",French,Male,1839,1906,Q35548,500004793
1054,Lynn Chadwick,"British, 1914–2003",British,Male,1914,2003,Q706335,500029409
1055,Marc Chagall,"French, born Belarus. 1887–1985",French,Male,1887,1985,Q93284,500115354
1057,Gaston Chaissac,"French, 1910–1964",French,Male,1910,1964,Q1495558,500000883
1060,John Chamberlain,"American, 1927–2011",American,Male,1927,2011,Q468760,500118724
1063,Martín Chambi,"Peruvian, 1891–1973",Peruvian,Male,1891,1973,Q288159,500037196
1072,Chargesheimer (Karl-Heinz Hargesheimer),"German, 1924–1972",German,Male,1924,1972,Q96752,500115135
1073,Sarah Charlesworth,"American, 1947–2013",American,Female,1947,2013,Q13560755,500056759
1074,Jean Charlot,"American, born France. 1898–1979",American,Male,1898,1979,Q432546,500027773
1080,Theodore Chassériau,"French, 1819–1856",French,Male,1819,1856,Q342467,500115358
1084,José Chávez Morado,"Mexican, 1909–2002",Mexican,Male,1909,2002,Q1709105,500078548
1089,Jules Chéret,"French, 1836–1932",French,Male,1836,1932,Q610202,500030480
1093,Iakov Chernikhov,"Russian, 1889–1951",Russian,Male,1889,1951,Q1399741,500016531
1104,Eduardo Chillida,"Spanish, 1924–2002",Spanish,Male,1924,2002,Q156736,500013253
1106,Giorgio de Chirico,"Italian, born Greece. 1888–1978",Italian,Male,1888,1978,Q156622,500032635
1109,Seiji Chokai,"Japanese, 1902–1972",Japanese,Male,1902,1972,Q11675040,500123060
1112,William Christenberry,"American, 1936–2016",American,Male,1936,2016,Q8006794,500074045
1113,Dan Christensen,"American, 1942–2007",American,Male,1942,2007,Q5213254,500005408
1118,Chryssa,"American, born Greece. 1933–2013",American,Female,1933,2013,Q536197,500022002
1125,Roman Cieslewicz,"French, born Poland. 1930–1996",French,Male,1930,1996,Q476100,500020802
1129,Paul Citroen,"Dutch, born Germany. 1896–1983",Dutch,Male,1896,1983,Q323431,500014484
1130,Minna Citron,"American, 1896–1991",American,Female,1896,1991,Q6867898,500031530
1137,Carlfriedrich Claus,"German, 1930–1998",German,Male,1930,1998,Q1041683,500069485
1147,Fabrizio Clerici,"Italian, 1913–1993",Italian,Male,1913,1993,Q1390849,500026217
1155,Carroll Cloar,"American, 1913–1993",American,Male,1913,1993,Q5046526,500011986
1159,Prunella Clough,"British, 1919–1999",British,Female,1919,1999,Q7253041,500013394
1164,Alvin Langdon Coburn,"American, 1882–1966",American,Male,1882,1966,Q449156,500010929
1168,Jean Cocteau,"French, 1889–1963",French,Male,1889,1963,Q83158,500003025
1174,George Cohen,"American, 1919–1999",American,Male,1919,1999,Q5538030,500012729
1182,Glenn O. Coleman,"American, 1887–1932",American,Male,1887,1932,Q20200801,500002247
1183,Robert Colescott,"American, 1925–2009",American,Male,1925,2009,Q2676807,500102583
1184,Warrington Colescott,"American, 1921–2018",American,Male,1921,2018,Q7970718,500082155
1185,Paul Colin,"French, 1892–1985",French,Male,1892,1985,Q555505,500004506
1187,Ettore Colla,"Italian, 1899–1968",Italian,Male,1899,1968,Q3059390,500111220
1190,Marjory Collins,"American, 1912–1985",American,Female,1912,1985,Q3293964,500335864
1195,Gianni Colombo,"Italian, 1937–1993",Italian,Male,1937,1993,Q631443,500053528
1196,Joe Colombo,"Italian, 1930–1971",Italian,Male,1930,1971,Q709990,500109860
